customer_id,status
C14580,SKIPPED_BY_LLM
C35719,SKIPPED_BY_LLM
C11705,SKIPPED_BY_LLM
C27102,SKIPPED_BY_LLM
C08212,SKIPPED_BY_LLM
C21922,SKIPPED_BY_LLM
C12482,SKIPPED_BY_LLM
C24443,SKIPPED_BY_LLM
C07426,SKIPPED_BY_LLM
C11460,SKIPPED_BY_LLM
C00454,SKIPPED_BY_LLM
C08022,SKIPPED_BY_LLM
C23629,SKIPPED_BY_LLM
C26635,SKIPPED_BY_LLM
C36202,SKIPPED_BY_LLM
C27752,SKIPPED_BY_LLM
C21546,SKIPPED_BY_LLM
C26058,SKIPPED_BY_LLM
C10420,SKIPPED_BY_LLM
C08576,SKIPPED_BY_LLM
C39940,SKIPPED_BY_LLM
C36032,SKIPPED_BY_LLM
C31607,SKIPPED_BY_LLM
C25898,SKIPPED_BY_LLM
C19207,SKIPPED_BY_LLM
C02882,SKIPPED_BY_LLM
C02116,SKIPPED_BY_LLM
C00847,SKIPPED_BY_LLM
C31689,SKIPPED_BY_LLM
C19704,SKIPPED_BY_LLM
C10830,SKIPPED_BY_LLM
C07419,SKIPPED_BY_LLM
C19532,SKIPPED_BY_LLM
C24804,SKIPPED_BY_LLM
C14388,SKIPPED_BY_LLM
C28235,SKIPPED_BY_LLM
C38874,SKIPPED_BY_LLM
C19971,SKIPPED_BY_LLM
C29433,SKIPPED_BY_LLM
C26132,SKIPPED_BY_LLM
C18539,SKIPPED_BY_LLM
C10847,SKIPPED_BY_LLM
C30460,SKIPPED_BY_LLM
C20793,SKIPPED_BY_LLM
C04100,SKIPPED_BY_LLM
C09040,SKIPPED_BY_LLM
C06273,SKIPPED_BY_LLM
C13898,SKIPPED_BY_LLM
C18544,SKIPPED_BY_LLM
C15744,SKIPPED_BY_LLM
C28850,SKIPPED_BY_LLM
C28312,SKIPPED_BY_LLM
C36116,SKIPPED_BY_LLM
C29411,SKIPPED_BY_LLM
C22814,SKIPPED_BY_LLM
C17460,SKIPPED_BY_LLM
C03752,SKIPPED_BY_LLM
C28667,SKIPPED_BY_LLM
C22318,SKIPPED_BY_LLM
C22939,SKIPPED_BY_LLM
C10989,SKIPPED_BY_LLM
C27433,SKIPPED_BY_LLM
C20835,SKIPPED_BY_LLM
C09437,SKIPPED_BY_LLM
